n_qubits,fidelity_mean,fidelity_std,runtime_mean
1,0.40963818915267486,0.2224398628430748,0.0010336875915527345
2,0.1737304576876895,0.08594742318424016,9.517669677734375e-05
3,0.1322373779396923,0.06950175583590922,7.038116455078125e-05
4,0.06738257993359052,0.04501668056904742,7.481575012207032e-05
